seed,election_year,horizon_days,as_of,party,actual_seats,point_baseline_seats,mean_seats,median_seats,point_error,mean_error,median_error,crps,percentile,cov_50,width_50,cov_80,width_80,cov_90,width_90,p_largest,p_qualify,p_any_seats
24680,2022,56,2022-07-17,V,24,29,29.88,30,5,5.88,6,3.8923,4.4,False,6,False,10,True,12,0.0,1.0,1.0
24680,2022,56,2022-07-17,MP,18,15,11.07,16,3,6.93,2,3.0605,83.0,False,17,True,19,True,19,0.0,0.6526,0.6526
24680,2022,56,2022-07-17,SD,73,63,64.06,64,10,8.94,9,5.7769,89.2,False,9,True,18,True,23,0.0,1.0,1.0
24680,2022,28,2022-08-14,M,68,65,65.19,67,3,2.81,1,1.5145,60.1,True,7,True,18,True,21,0.0,1.0,1.0
24680,2022,28,2022-08-14,L,16,19,18.94,19,3,2.94,3,1.8529,12.9,False,4,True,8,True,10,0.0,0.9744,0.9744
24680,2022,28,2022-08-14,C,24,23,23.17,23,1,0.83,1,0.7431,63.3,True,4,True,6,True,7,0.0,1.0,1.0
24680,2022,28,2022-08-14,KD,19,21,21.4,21,2,2.4,2,1.4105,16.3,False,3,True,6,True,7,0.0,0.999,0.999
24680,2022,28,2022-08-14,S,107,106,106.19,106,1,0.81,1,1.2341,57.2,True,7,True,12,True,15,1.0,1.0,1.0
24680,2022,28,2022-08-14,V,24,29,28.86,29,5,4.86,5,3.1441,4.8,False,5,False,8,True,10,0.0,1.0,1.0
24680,2022,28,2022-08-14,MP,18,18,17.55,19,0,0.45,1,0.8261,40.4,True,4,True,7,True,23,0.0,0.928,0.928
24680,2022,28,2022-08-14,SD,73,68,67.69,68,5,5.31,5,3.2436,81.2,False,8,True,15,True,20,0.0,1.0,1.0
24680,2022,14,2022-08-28,M,68,65,65.24,67,3,2.76,1,1.399,59.1,True,6,True,18,True,19,0.0,1.0,1.0
24680,2022,14,2022-08-28,L,16,18,17.56,18,2,1.56,2,1.1005,23.7,True,4,True,7,True,9,0.0,0.959,0.959
24680,2022,14,2022-08-28,C,24,24,23.77,23,0,0.23,1,0.6638,57.4,True,4,True,6,True,6,0.0,1.0,1.0
24680,2022,14,2022-08-28,KD,19,21,20.59,21,2,1.59,2,0.913,22.6,True,3,True,5,True,6,0.0,0.9996,0.9996
24680,2022,14,2022-08-28,S,107,106,106.46,106,1,0.54,1,1.1383,54.9,True,7,True,10,True,12,1.0,1.0,1.0
24680,2022,14,2022-08-28,V,24,27,27.34,27,3,3.34,3,1.8572,15.6,False,5,True,7,True,9,0.0,1.0,1.0
24680,2022,14,2022-08-28,MP,18,18,17.77,19,0,0.23,1,0.8095,38.7,True,4,True,6,True,22,0.0,0.9496,0.9496
24680,2022,14,2022-08-28,SD,73,70,70.25,70,3,2.75,3,1.8647,72.8,True,6,True,15,True,19,0.0,1.0,1.0
24680,2022,7,2022-09-04,M,68,65,65.39,67,3,2.61,1,1.2801,57.8,True,6,True,17,True,19,0.0,1.0,1.0
24680,2022,7,2022-09-04,L,16,17,16.27,17,1,0.27,1,0.8494,34.4,True,4,True,8,True,22,0.0,0.9168,0.9168
24680,2022,7,2022-09-04,C,24,24,23.83,23,0,0.17,1,0.6833,57.7,True,4,True,6,True,6,0.0,1.0,1.0
24680,2022,7,2022-09-04,KD,19,20,19.9,20,1,0.9,1,0.5834,33.0,True,2,True,5,True,6,0.0,1.0,1.0
24680,2022,7,2022-09-04,S,107,107,107.28,107,0,0.28,0,1.0455,48.7,True,6,True,9,True,11,1.0,1.0,1.0
24680,2022,7,2022-09-04,V,24,27,27.04,27,3,3.04,3,1.6476,21.2,True,6,True,8,True,8,0.0,1.0,1.0
24680,2022,7,2022-09-04,MP,18,18,17.81,19,0,0.19,1,0.8176,38.9,True,4,True,6,True,8,0.0,0.9522,0.9522
24680,2022,7,2022-09-04,SD,73,71,71.47,72,2,1.53,1,1.3432,64.2,True,6,True,15,True,17,0.0,1.0,1.0
98765,2018,112,2018-05-20,M,70,80,82.62,83,10,12.62,13,7.5533,18.9,False,17,True,35,True,45,0.1608,1.0,1.0
