model,tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
CONTROL_pp_centered_noise,tier3_iso,2014,12345,242,L+S+V+MP+SD,1.0,1,227,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,243,M+L+S+V+MP+SD,1.0,1,311,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,244,C+S+V+MP+SD,1.0,1,230,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,245,M+C+S+V+MP+SD,1.0,1,314,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,246,L+C+S+V+MP+SD,1.0,1,249,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,247,M+L+C+S+V+MP+SD,1.0,1,333,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,248,KD+S+V+MP+SD,1.0,1,224,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,249,M+KD+S+V+MP+SD,1.0,1,308,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,250,L+KD+S+V+MP+SD,1.0,1,243,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,251,M+L+KD+S+V+MP+SD,1.0,1,327,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,252,C+KD+S+V+MP+SD,1.0,1,246,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,253,M+C+KD+S+V+MP+SD,1.0,1,330,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,254,L+C+KD+S+V+MP+SD,1.0,1,265,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,1,M,0.0,0,84,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,2,L,0.0,0,19,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,3,M+L,0.0,0,103,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,4,C,0.0,0,22,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,5,M+C,0.0,0,106,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,6,L+C,0.0,0,41,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,7,M+L+C,0.0,0,125,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,8,KD,0.0,0,16,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,24680,9,M+KD,0.0,0,100,0.0
