wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,second_choice_code_raw,second_choice_raw,second_choice_party,second_choice_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,l,L,L,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,m,M,M,parliamentary_party,1.4,1.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,mp,MP,MP,parliamentary_party,33.7,5.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,s,S,S,parliamentary_party,43.2,6.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,4.0,2.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,v,V,V,parliamentary_party,övr,övriga,OTHER,other_party,5.7,2.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,21.5,12.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,l,L,L,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,m,M,M,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,mp,MP,MP,parliamentary_party,26.3,12.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,s,S,S,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,v,V,V,parliamentary_party,13.5,10.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,14.0,10.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,övr,övriga,OTHER,other_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,SD,SD,SD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,c,C,C,parliamentary_party,3.0,2.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,29.1,7.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,kd,KD,KD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,l,L,L,parliamentary_party,5.4,3.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,m,M,M,parliamentary_party,24.4,6.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,mp,MP,MP,parliamentary_party,5.1,3.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,s,S,S,parliamentary_party,18.9,6.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,v,V,V,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,8.2,4.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,SD,SD,SD,parliamentary_party,övr,övriga,OTHER,other_party,3.2,3.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,c,C,C,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,17.0,5.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,kd,KD,KD,parliamentary_party,7.5,3.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,l,L,L,parliamentary_party,14.1,5.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,m,M,M,parliamentary_party,36.5,6.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,mp,MP,MP,parliamentary_party,10.0,4.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,s,S,S,parliamentary_party,7.6,3.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,5.5,3.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,c,C,C,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,SD,SD,SD,parliamentary_party,1.6,0.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,c,C,C,parliamentary_party,3.5,0.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,16.5,1.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,kd,KD,KD,parliamentary_party,3.0,0.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2011M05,2011-05-01,2011-05,hela väljarkåren,hela väljarkåren,TOTAL_ELECTORATE,total_electorate,l,L,L,parliamentary_party,11.2,0.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
