wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2016M11,2016-11-01,2016-11,TOT,tot18+,SD,SD,SD,parliamentary_party,15.8,0.9,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,c,C,C,parliamentary_party,7.3,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.5,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,l,L,L,parliamentary_party,4.9,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,m,M,M,parliamentary_party,23.8,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,mp,MP,MP,parliamentary_party,4.6,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,s,S,S,parliamentary_party,30.7,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,v,V,V,parliamentary_party,6.8,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2016M11,2016-11-01,2016-11,TOT,tot18+,övr,övriga,OTHER,other_party,2.7,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,SD,SD,SD,parliamentary_party,16.3,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,c,C,C,parliamentary_party,10.1,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.4,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,l,L,L,parliamentary_party,5.6,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,m,M,M,parliamentary_party,19.3,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,mp,MP,MP,parliamentary_party,4.5,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,s,S,S,parliamentary_party,31.5,1.2,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,v,V,V,parliamentary_party,6.7,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2017M05,2017-05-01,2017-05,TOT,tot18+,övr,övriga,OTHER,other_party,2.5,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,SD,SD,SD,parliamentary_party,14.3,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2017M11,2017-11-01,2017-11,TOT,tot18+,c,C,C,parliamentary_party,8.6,0.7,observed,ME/ME0201/ME0201B/Partisympati051
