origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2024-10-15,SD,True,0.16199891282584217,0.16199891282584217
2024-10-29,M,True,0.1358836015754331,0.1358836015754331
2024-10-29,L,True,0.06442669908586612,0.06442669908586612
2024-10-29,C,True,0.06755922192294653,0.06755922192294653
2024-10-29,KD,True,0.06886918002848028,0.06886918002848028
2024-10-29,S,True,0.1744074238384482,0.1744074238384482
2024-10-29,V,True,0.072539300249467,0.072539300249467
2024-10-29,MP,True,0.08511534381227925,0.08511534381227925
2024-10-29,SD,True,0.2642936333605487,0.2642936333605487
2024-11-12,M,True,0.14841705796636306,0.14841705796636306
2024-11-12,L,True,0.06350945495895795,0.06350945495895795
2024-11-12,C,True,0.04402810319067965,0.04402810319067965
2024-11-12,KD,True,0.06498352572465155,0.06498352572465155
2024-11-12,S,True,0.17253513584444807,0.17253513584444807
2024-11-12,V,True,0.11270035664689795,0.11270035664689795
2024-11-12,MP,True,0.08396145797852608,0.08396145797852608
2024-11-12,SD,True,0.3059344673004005,0.3059344673004005
2024-11-26,M,True,0.12199685532799703,0.12199685532799703
2024-11-26,L,True,0.06027306164665491,0.06027306164665491
2024-11-26,C,True,0.06258016013228664,0.06258016013228664
2024-11-26,KD,True,0.06407843762342721,0.06407843762342721
2024-11-26,S,True,0.22556646782476025,0.22556646782476025
2024-11-26,V,True,0.052124404033288635,0.052124404033288635
2024-11-26,MP,True,0.0801281097112822,0.0801281097112822
2024-11-26,SD,True,0.13483359998350047,0.13483359998350047
2024-12-10,M,True,0.12899193697702055,0.12899193697702055
2024-12-10,L,True,0.21258570811417699,0.21258570811417699
2024-12-10,C,True,0.06592472040463118,0.06592472040463118
2024-12-10,KD,True,0.12066201343929202,0.12066201343929202
2024-12-10,S,True,0.32080431675930754,0.32080431675930754
2024-12-10,V,True,0.052133384524406606,0.052133384524406606
2024-12-10,MP,True,0.08307727273425342,0.08307727273425342
2024-12-10,SD,True,0.1451319651577131,0.1451319651577131
2024-12-24,M,True,0.13104594211006543,0.13104594211006543
2024-12-24,L,True,0.12673514235132427,0.12673514235132427
2024-12-24,C,True,0.06555715980703794,0.06555715980703794
2024-12-24,KD,True,0.059942149147078544,0.059942149147078544
2024-12-24,S,True,0.3157732875619228,0.3157732875619228
2024-12-24,V,True,0.06757430873039821,0.06757430873039821
2024-12-24,MP,True,0.05986123603921911,0.05986123603921911
2024-12-24,SD,True,0.1438505819795547,0.1438505819795547
2025-01-07,M,True,0.1322412174386844,0.1322412174386844
2025-01-07,L,True,0.06099554760202622,0.06099554760202622
2025-01-07,C,True,0.20065188369741757,0.20065188369741757
2025-01-07,KD,True,0.043339826267860065,0.043339826267860065
2025-01-07,S,True,0.4846356233201566,0.4846356233201566
2025-01-07,V,True,0.0738790579501091,0.0738790579501091
2025-01-07,MP,True,0.0810970901618685,0.0810970901618685
2025-01-07,SD,True,0.2776038575959695,0.2776038575959695
2025-01-21,M,True,0.13402400592326236,0.13402400592326236
2025-01-21,L,True,0.06317536921324454,0.06317536921324454
2025-01-21,C,True,0.20313937594218032,0.20313937594218032
2025-01-21,KD,True,0.06569985866305127,0.06569985866305127
2025-01-21,S,True,0.3777844881328982,0.3777844881328982
2025-01-21,V,True,0.12520592668828803,0.12520592668828803
2025-01-21,MP,True,0.1297802461696327,0.1297802461696327
2025-01-21,SD,True,0.3090605422839969,0.3090605422839969
2025-02-04,M,True,0.1537272622430137,0.1537272622430137
2025-02-04,L,True,0.0328292026552596,0.0328292026552596
2025-02-04,C,True,0.20372534950654303,0.20372534950654303
2025-02-04,KD,True,0.06233334008211622,0.06233334008211622
2025-02-04,S,True,0.26655210554597314,0.26655210554597314
2025-02-04,V,True,0.12471101865434506,0.12471101865434506
2025-02-04,MP,True,0.11758945073801713,0.11758945073801713
2025-02-04,SD,True,0.3071962207333679,0.3071962207333679
2025-02-18,M,True,0.15657960607386817,0.15657960607386817
2025-02-18,L,True,0.061322105524219656,0.061322105524219656
2025-02-18,C,True,0.062287692039639866,0.062287692039639866
2025-02-18,KD,True,0.042940536822742514,0.042940536822742514
2025-02-18,S,True,0.33016644257929983,0.33016644257929983
2025-02-18,V,True,0.0730059541964296,0.0730059541964296
2025-02-18,MP,True,0.07897576282605673,0.07897576282605673
2025-02-18,SD,True,0.3092959370670145,0.3092959370670145
2025-03-04,M,True,0.19654832883423623,0.19654832883423623
2025-03-04,L,True,0.12562637134447974,0.12562637134447974
2025-03-04,C,True,0.062330196580272806,0.062330196580272806
2025-03-04,KD,True,0.04212900355065899,0.04212900355065899
2025-03-04,S,True,0.29664272418246806,0.29664272418246806
2025-03-04,V,True,0.07238485385848137,0.07238485385848137
2025-03-04,MP,True,0.12024479468860369,0.12024479468860369
2025-03-04,SD,True,0.29363382013766337,0.29363382013766337
2025-03-18,M,True,0.1776948177124416,0.1776948177124416
2025-03-18,L,True,0.05795896782831089,0.05795896782831089
2025-03-18,C,True,0.2997586055489152,0.2997586055489152
2025-03-18,KD,True,0.042474363850593916,0.042474363850593916
2025-03-18,S,True,0.17120167570797123,0.17120167570797123
2025-03-18,V,True,0.07190959860598814,0.07190959860598814
2025-03-18,MP,True,0.07906066491531322,0.07906066491531322
2025-03-18,SD,True,0.1356400452213491,0.1356400452213491
2025-04-01,M,True,0.29550386804536855,0.29550386804536855
2025-04-01,L,True,0.06000721342360324,0.06000721342360324
2025-04-01,C,True,0.6034790565275644,0.6034790565275644
2025-04-01,KD,True,0.04426561712862025,0.04426561712862025
2025-04-01,S,True,0.18045129369866053,0.18045129369866053
2025-04-01,V,True,0.18774182913899673,0.18774182913899673
2025-04-01,MP,True,0.12044269283094947,0.12044269283094947
2025-04-01,SD,True,0.13054659436632393,0.13054659436632393
2025-04-15,M,True,0.3141975491853892,0.3141975491853892
2025-04-15,L,True,0.05801493650315427,0.05801493650315427
2025-04-15,C,True,0.49251082902360077,0.49251082902360077
2025-04-15,KD,True,0.06596706913261127,0.06596706913261127
2025-04-15,S,True,0.1690835539977285,0.1690835539977285
2025-04-15,V,True,0.11926553922327282,0.11926553922327282
2025-04-15,MP,True,0.05964261742790436,0.05964261742790436
2025-04-15,SD,True,0.14253412840791085,0.14253412840791085
2025-04-29,M,True,0.5572760538351684,0.5572760538351684
2025-04-29,L,True,0.029816962478498868,0.029816962478498868
2025-04-29,C,True,0.4800347304248523,0.4800347304248523
2025-04-29,KD,True,0.21114660427270657,0.21114660427270657
2025-04-29,S,True,0.29640893674891,0.29640893674891
2025-04-29,V,True,0.11527629818182097,0.11527629818182097
2025-04-29,MP,True,0.07811270197276066,0.07811270197276066
2025-04-29,SD,True,0.19986088186769957,0.19986088186769957
2025-05-13,M,True,0.22958582823474583,0.22958582823474583
