model,horizon_days,party,cases,mean_crps,coverage_50,coverage_90,mean_width_50,mean_width_90
independent_walk,7,KD,399,0.059652,0.43609,0.927318,0.103441,0.326848
independent_walk,7,L,399,0.042202,0.556391,0.756892,0.023188,0.217032
independent_walk,7,M,399,0.082459,0.293233,0.897243,0.174371,0.433301
independent_walk,7,MP,399,0.045668,0.508772,0.877193,0.03035,0.257384
independent_walk,7,S,399,0.126106,0.443609,0.761905,0.197708,0.51645
independent_walk,7,SD,399,0.093459,0.380952,0.862155,0.190638,0.457155
independent_walk,7,V,399,0.057778,0.443609,0.882206,0.122056,0.357635
independent_walk,8,C,399,0.054484,0.401003,0.892231,0.113151,0.288633
independent_walk,8,KD,399,0.064421,0.406015,0.917293,0.120677,0.355293
independent_walk,8,L,399,0.044761,0.52381,0.799499,0.056886,0.229636
independent_walk,8,M,399,0.090181,0.308271,0.887218,0.183476,0.466889
independent_walk,8,MP,399,0.050899,0.463659,0.887218,0.070421,0.276597
independent_walk,8,S,399,0.141986,0.431078,0.766917,0.210293,0.559944
independent_walk,8,SD,399,0.106271,0.406015,0.827068,0.198927,0.487361
independent_walk,8,V,399,0.062983,0.43609,0.899749,0.158727,0.391656
independent_walk,9,C,399,0.060351,0.358396,0.87218,0.12262,0.308547
independent_walk,9,KD,399,0.071261,0.363409,0.904762,0.135579,0.388729
independent_walk,9,L,399,0.049043,0.491228,0.85213,0.087255,0.245985
independent_walk,9,M,399,0.098658,0.358396,0.854637,0.192659,0.503244
independent_walk,9,MP,399,0.054839,0.423559,0.912281,0.112957,0.308591
independent_walk,9,S,399,0.15109,0.433584,0.779449,0.222944,0.597333
independent_walk,9,SD,399,0.114989,0.458647,0.814536,0.207016,0.524831
independent_walk,9,V,399,0.068035,0.438596,0.917293,0.17331,0.41407
independent_walk,10,C,399,0.063738,0.35589,0.859649,0.129412,0.323873
independent_walk,10,KD,399,0.077269,0.363409,0.914787,0.148047,0.415524
independent_walk,10,L,399,0.052658,0.45614,0.879699,0.10307,0.263259
independent_walk,10,M,399,0.106834,0.421053,0.817043,0.201772,0.535102
independent_walk,10,MP,399,0.060075,0.421053,0.899749,0.133827,0.343652
independent_walk,10,S,399,0.166117,0.408521,0.756892,0.235836,0.633044
independent_walk,10,SD,399,0.126471,0.506266,0.81203,0.2157,0.561102
independent_walk,10,V,399,0.073895,0.43609,0.899749,0.18101,0.43052
independent_walk,11,C,399,0.069175,0.320802,0.844612,0.134892,0.33734
independent_walk,11,KD,399,0.082167,0.373434,0.914787,0.158266,0.43782
independent_walk,11,L,399,0.056933,0.428571,0.909774,0.109537,0.279635
independent_walk,11,M,399,0.113268,0.471178,0.807018,0.211485,0.562263
independent_walk,11,MP,399,0.063885,0.426065,0.892231,0.145377,0.369442
independent_walk,11,S,399,0.185768,0.408521,0.724311,0.249384,0.667505
independent_walk,11,SD,399,0.138936,0.491228,0.799499,0.224608,0.590501
independent_walk,11,V,399,0.07958,0.43609,0.892231,0.186694,0.444771
