election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,C,True,8.6077,9.8072,7.872,8.3521,9.0062,9.7663,10.5324,11.2821,11.8752,14.6,1.1585,0.708224,False,True,True,1.5262,2.93,4.0032,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,KD,True,6.3223,2.267,1.5747,1.7171,1.9787,2.2765,2.5618,2.794,2.9236,100.0,4.0458,3.822676,False,False,False,0.5831,1.077,1.349,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,S,True,28.261,26.8735,24.4192,24.906,25.7279,26.7561,27.9119,29.1264,29.8293,80.86,1.5049,0.88091,False,True,True,2.184,4.2204,5.4101,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,V,True,8.0049,8.2887,6.8406,7.123,7.6673,8.3398,8.9154,9.3601,9.6331,36.76,0.335,0.260048,True,True,True,1.248,2.2372,2.7925,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,MP,True,4.4143,3.4403,2.1384,2.3287,2.7661,3.4899,4.0847,4.4812,4.699,88.14,0.9244,0.577392,False,True,True,1.3186,2.1526,2.5607,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,SD,True,17.534,22.0716,18.8765,19.602,20.7267,21.9691,23.4178,24.6454,25.2748,0.22,4.4351,3.439025,False,False,False,2.6911,5.0435,6.3983,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,pp_bias_plus_noise,REST,False,1.5307,2.3849,1.6966,1.8379,2.0645,2.3727,2.6832,2.9409,3.1164,1.92,0.842,0.610382,False,False,False,0.6187,1.1029,1.4198,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,M,True,19.8356,19.527,17.1761,17.8401,18.5563,19.492,20.4742,21.2368,22.0025,58.66,0.3436,0.367258,True,True,True,1.918,3.3967,4.8264,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,L,True,5.4896,5.1958,4.5627,4.6763,4.9015,5.181,5.4753,5.7367,5.8824,76.06,0.3086,0.182511,False,True,True,0.5739,1.0603,1.3197,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,C,True,8.6077,9.4136,8.1367,8.4532,8.9336,9.3738,9.8291,10.4351,10.7962,13.56,0.766,0.48466,False,True,True,0.8955,1.9819,2.6594,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,KD,True,6.3223,3.3057,2.86,2.9543,3.1143,3.2982,3.4901,3.6615,3.7623,100.0,3.0241,2.860023,False,False,False,0.3758,0.7073,0.9023,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,S,True,28.261,24.8916,23.0842,23.5594,24.2163,24.8687,25.5722,26.2464,26.7062,99.78,3.3922,2.765523,False,False,False,1.3559,2.687,3.622,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,V,True,8.0049,9.4877,8.6194,8.8201,9.1284,9.4758,9.8244,10.1709,10.4006,0.26,1.471,1.178917,False,False,False,0.696,1.3509,1.7812,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,MP,True,4.4143,4.9038,4.2608,4.4199,4.6406,4.8851,5.1455,5.414,5.6145,9.76,0.4708,0.302547,False,False,True,0.5048,0.9941,1.3537,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
